NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
3667270408604648,Yusuf Wibowo,Semarang,04-08-1960,Laki-Laki,A,Jalan Thamrin No.159,18/05,Mekarjaya,Cibadak,Katolik,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3809746510692168,Dwi Wibowo,Bantul,25-10-1969,Perempuan,B,Jalan Gajah Mada No.176,14/02,Tanah Abang,Cengkareng,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2538204312543403,Dewi Pratama,Gunungkidul,03-12-1954,Perempuan,A,Jalan Thamrin No.134,14/05,Cibubur,Cilandak,Katolik,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
1844116201730512,Kartika Saputra,Jakarta Barat,22-01-1973,Perempuan,A,Jalan Merdeka No.4,04/24,Kebon Jeruk,Kemayoran,Islam,Cerai Hidup,Buruh,WNI,Seumur Hidup
2170785903486893,Fitri Sutrisno,Purwokerto,19-03-1948,Perempuan,O,Jalan Diponegoro No.66,16/11,Sindangsari,Cibadak,Hindu,Kawin,Buruh,WNI,Seumur Hidup
2948855408613541,Dwi Sutrisno,Padang,14-08-1961,Perempuan,O,Jalan Merdeka No.151,15/23,Tanjungsari,Sukajaya,Hindu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3025332702002254,Wahyu Santoso,Denpasar,27-02-2000,Laki-Laki,O,Jalan Diponegoro No.42,15/12,Kebon Jeruk,Pancoran Mas,Buddha,Cerai Hidup,Buruh,WNI,Seumur Hidup
3064420911448732,Ahmad Sutrisno,Madiun,09-11-1944,Laki-Laki,A,Jalan Sudirman No.87,10/06,Tanjungsari,Sukmajaya,Kristen,Cerai Hidup,Guru,WNI,Seumur Hidup
3850524801646960,Zahra Wahyudi,Bantul,08-01-1964,Perempuan,B,Jalan Sudirman No.76,13/18,Kebon Kacang,Sukmajaya,Konghucu,Kawin,Buruh,WNI,Seumur Hidup
1204915311555732,Murni Pratama,Surabaya,13-11-1955,Perempuan,B,Jalan Merdeka No.155,01/21,Karanganyar,Cengkareng,Buddha,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
2856641604622824,Wahyu Pratama,Siak,16-04-1962,Laki-Laki,AB,Jalan Gajah Mada No.112,05/08,Tanjungsari,Cilandak,Kristen,Belum Kawin,Guru,WNI,Seumur Hidup
3261086506789786,Murni Wibowo,Surabaya,25-06-1978,Perempuan,B,Jalan Gajah Mada No.194,09/21,Sukamaju,Pancoran Mas,Buddha,Cerai Hidup,Buruh,WNI,Seumur Hidup
1996315111602777,Zahra Purnomo,Madiun,11-11-1960,Perempuan,AB,Jalan Thamrin No.48,03/16,Purnawarman,Sukajaya,Konghucu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2165235401888742,Murni Wijaya,Padang,14-01-1988,Perempuan,B,Jalan Gajah Mada No.190,11/04,Kebon Jeruk,Cilandak,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
3654102707909509,Herman Wahyudi,Siak,27-07-1990,Laki-Laki,A,Jalan Diponegoro No.155,02/06,Purnawarman,Pancoran Mas,Buddha,Cerai Hidup,Wartawan,WNI,Seumur Hidup
2067095503686006,Zahra Wijaya,Madiun,15-03-1968,Perempuan,B,Jalan Thamrin No.20,09/14,Sindangsari,Cilandak,Buddha,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
3475125104470529,Dewi Sutrisno,Binjai,11-04-1947,Perempuan,AB,Jalan Thamrin No.110,13/19,Mekarjaya,Pancoran Mas,Kristen,Kawin,Wartawan,WNI,Seumur Hidup
3020742602958537,Gunawan Santoso,Jakarta Utara,26-02-1995,Laki-Laki,O,Jalan Gajah Mada No.108,05/15,Sukamaju,Cibadak,Islam,Kawin,Buruh,WNI,Seumur Hidup
1179610411635357,Hendra Wijaya,Bekasi,04-11-1963,Laki-Laki,A,Jalan Gajah Mada No.41,12/09,Sindangsari,Beji,Kristen,Kawin,Guru,WNI,Seumur Hidup
1357992509821240,Gunawan Sutrisno,Binjai,25-09-1982,Laki-Laki,O,Jalan Thamrin No.99,19/22,Cibubur,Cibadak,Kristen,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
4339402310523017,Gunawan Sutrisno,Pematangsiantar,23-10-1952,Laki-Laki,AB,Jalan Sudirman No.89,19/18,Karanganyar,Cibadak,Buddha,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
2620972107638362,Ahmad Sutrisno,Bogor,21-07-1963,Laki-Laki,AB,Jalan Sudirman No.23,02/13,Kebon Jeruk,Tapos,Kristen,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
4068475609697845,Dewi Sutrisno,Purwokerto,16-09-1969,Perempuan,A,Jalan Merdeka No.157,10/08,Mekarjaya,Cipayung,Konghucu,Kawin,Wiraswasta,WNI,Seumur Hidup
4255190606600324,Hendra Wibowo,Jakarta Timur,06-06-1960,Laki-Laki,AB,Jalan Gajah Mada No.147,05/03,Mekarjaya,Cilandak,Hindu,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
4325240508636556,Hendra Hidayat,Yogyakarta,05-08-1963,Laki-Laki,B,Jalan Sudirman No.88,16/06,Sindangsari,Sukmajaya,Konghucu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3636192802485506,Herman Purnomo,Ubud,28-02-1948,Laki-Laki,B,Jalan Sudirman No.27,16/04,Karanganyar,Sukajaya,Katolik,Belum Kawin,Karyawan Honorer,WNI,Seumur Hidup
1477025507909221,Putri Sutrisno,Tanjungbalai,15-07-1990,Perempuan,O,Jalan Sudirman No.176,11/22,Karanganyar,Sukmajaya,Konghucu,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
2495124501772060,Murni Pratama,Madiun,05-01-1977,Perempuan,A,Jalan Merdeka No.173,15/10,Purnawarman,Cengkareng,Islam,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
3955835202018696,Dewi Pratama,Kuta,12-02-2001,Perempuan,AB,Jalan Diponegoro No.84,18/21,Sindangsari,Cibadak,Katolik,Cerai Hidup,Wartawan,WNI,Seumur Hidup
1720426612634483,Dewi Hidayat,Tegal,26-12-1963,Perempuan,O,Jalan Sudirman No.73,13/16,Tanjungsari,Cipayung,Katolik,Kawin,Guru,WNI,Seumur Hidup
4139710110677569,Wahyu Hidayat,Pekanbaru,01-10-1967,Laki-Laki,O,Jalan Diponegoro No.119,17/03,Cilincing,Cengkareng,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
2364436107912437,Zahra Wibowo,Bengkalis,21-07-1991,Perempuan,B,Jalan Sudirman No.73,05/08,Karanganyar,Cipayung,Buddha,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1541341105037469,Yusuf Santoso,Malang,11-05-2003,Laki-Laki,AB,Jalan Thamrin No.135,20/04,Cibubur,Beji,Hindu,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
2733412610989354,Teguh Hidayat,Samarinda,26-10-1998,Laki-Laki,A,Jalan Merdeka No.108,03/06,Tanjungsari,Cibadak,Konghucu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
2552505204485326,Indah Wijaya,Purwokerto,12-04-1948,Perempuan,AB,Jalan Thamrin No.18,18/10,Purnawarman,Beji,Katolik,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2317136606753462,Fitri Saputra,Kutai Barat,26-06-1975,Perempuan,AB,Jalan Gajah Mada No.200,14/13,Sindangsari,Sukmajaya,Katolik,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3881324803564944,Indah Santoso,Magelang,08-03-1956,Perempuan,B,Jalan Diponegoro No.110,01/08,Kebon Kacang,Cipayung,Katolik,Cerai Hidup,Wartawan,WNI,Seumur Hidup
1548045905034419,Dwi Wijaya,Jakarta Barat,19-05-2003,Perempuan,AB,Jalan Gajah Mada No.20,09/19,Karanganyar,Cilandak,Konghucu,Belum Kawin,Buruh,WNI,Seumur Hidup
1982441405898437,Wahyu Wibowo,Tenggarong,14-05-1989,Laki-Laki,A,Jalan Gajah Mada No.185,16/12,Kebon Kacang,Pancoran Mas,Buddha,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1540410503959239,Wahyu Saputra,Sleman,05-03-1995,Laki-Laki,B,Jalan Diponegoro No.62,20/23,Kebon Kacang,Tapos,Katolik,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
